"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C33","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","59,5578","32,7251","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C32","CL05C100JB5NNNC","Top","CAPC1005X55N","64,5160","16,9164","270","Capacitor"
"C31","CL05C100JB5NNNC","Top","CAPC1005X55N","68,2752","16,9446","90","Capacitor"
"C30","CL05C100JB5NNNC","Top","CAPC1005X55N","63,2742","17,2720","180","Capacitor"
"C29","CL05C100JB5NNNC","Top","CAPC1005X55N","71,0918","16,5354","180","Capacitor"
"C27","C0805C106K8PACTU","Top","FP-C0805C-DG-MFG","58,1127","22,9899","180","CAP CER 10UF 10V X5R 0805"
"C21","GJM1555C1H6R8BB01D","Top","FP-GJM155-0_05-IPC_A","29,8196","13,3350","180","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R"
"C20","GJM1555C1H6R8BB01D","Top","FP-GJM155-0_05-IPC_A","30,6070","17,5260","180","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R"
"C19","CL05C100JB5NNNC","Top","CAPC1005X55N","31,5468","13,8430","270","Capacitor"
"C18","CL21A106KAYNNNE","Top","FP-CL21-IPC_A","27,2428","20,7274","180","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C17","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","28,3644","22,7086","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C16","CL05C100JB5NNNC","Top","CAPC1005X55N","39,9514","32,2072","180","Capacitor"
"C15","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","43,1546","28,3718","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C14","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","37,7698","27,3748","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C13","GJM1555C1H6R8BB01D","Top","FP-GJM155-0_05-IPC_A","40,7670","17,2974","0","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R"
"C12","GJM1555C1H6R8BB01D","Top","FP-GJM155-0_05-IPC_A","40,7924","20,1676","0","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R"
"C11","CL05C100JB5NNNC","Top","CAPC1005X55N","38,5318","17,3228","180","Capacitor"
"C10","CL05C100JB5NNNC","Top","CAPC1005X55N","41,8084","23,3906","270","Capacitor"
"C9","CL05C100JB5NNNC","Top","CAPC1005X55N","32,6362","21,1328","180","Capacitor"
"C8","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","32,4612","26,0170","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C7","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","49,6824","20,7010","90","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C6","CL21A106KAYNNNE","Top","FP-CL21-IPC_A","54,5846","28,1432","0","CL21 Series 0805 10uF 25V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C5","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","53,1622","26,0604","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C4","CC0603JRNPO9BN150","Top","FP-CC0603-0_9-MFG","47,1678","30,8864","270","CAP CER 15PF 50V C0G/NPO 0603"
"C3","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","52,8648","23,3426","0","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C2","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","47,7340","23,2918","180","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C1","CC0603JRNPO9BN150","Top","FP-CC0603-0_9-MFG","52,9082","30,8344","270","CAP CER 15PF 50V C0G/NPO 0603"
