"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C22","CL32B106KLULNNE","Top","FP-CL32-IPC_C","49.1529","34.7300","180","Cap Ceramic 10uF 35V X7R ±10% SMD 1210 +125°C Embossed T/R"
"C21","CL32B106KLULNNE","Top","FP-CL32-IPC_C","49.1529","38.0320","180","Cap Ceramic 10uF 35V X7R ±10% SMD 1210 +125°C Embossed T/R"
"C20","CC0402KPX7R7BB104","Top","FP-CC0402-MFG","33.4750","30.0564","90","CAP CER 0.1UF 16V X7R 0402"
"C19","C1210C226M3RACTU","Top","FP-C1210C226M3RACTU-MFG","35.9896","30.1880","90","CAP CER 22UF 25V X7R 1210"
"C18","C1210C226M3RACTU","Top","FP-C1210C226M3RACTU-MFG","39.2916","30.1580","90","CAP CER 22UF 25V X7R 1210"
"C17","CC0402KPX7R7BB104","Top","FP-CC0402-MFG","49.1976","27.6180","180","CAP CER 0.1UF 16V X7R 0402"
"C15","C0402C333K4RAC","Top","FP-C0402-BB-MFG","49.2980","42.4440","270","C0402 33,000 pF X7R 10.00% 16 V"
"C14","CL05B104KB5NNNC","Top","FP-CL891-IPC_C","48.5360","47.1620","180","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C13","CL32B106KLULNNE","Top","FP-CL32-IPC_C","47.5647","49.7020","180","Cap Ceramic 10uF 35V X7R ±10% SMD 1210 +125°C Embossed T/R"
"C12","CL32B106KLULNNE","Top","FP-CL32-IPC_C","47.5647","53.0040","180","Cap Ceramic 10uF 35V X7R ±10% SMD 1210 +125°C Embossed T/R"
"C11","CC0402KPX7R7BB104","Top","FP-CC0402-MFG","34.3120","45.1380","90","CAP CER 0.1UF 16V X7R 0402"
"C10","C1210C226M3RACTU","Top","FP-C1210C226M3RACTU-MFG","36.5980","45.1000","90","CAP CER 22UF 25V X7R 1210"
"C9","C1210C226M3RACTU","Top","FP-C1210C226M3RACTU-MFG","39.9000","45.1000","90","CAP CER 22UF 25V X7R 1210"
"C8","CC0402KPX7R7BB104","Top","FP-CC0402-MFG","47.5000","42.5000","180","CAP CER 0.1UF 16V X7R 0402"
"C7","JMK105BJ105KV8F","Top","FP-0402-L_1_0_0_05-W_0_5-IPC_B","41.0750","69.2286","90","None"
"C6","CC0805KKX5R6BB475","Top","FP-CC0805-0_85-MFG","49.4000","70.5750","0","CAP CER 4.7UF 10V X5R 0805"
"C5","CGA3E2X7R1H104K080AD","Top","FP-CGA3E-0_3-0_1-MFG","42.9750","69.7000","180","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
"C3","C1210C226M3RACTU","Top","FP-C1210C226M3RACTU-MFG","50.0000","61.0000","90","CAP CER 22UF 25V X7R 1210"
"C2","0402ZC223KAT2A","Top","CAPC1005X56X25ML10T15","48.9100","68.7250","180",""
"C1","CGA3E2X7R1H104K080AD","Top","FP-CGA3E-0_3-0_1-MFG","50.4750","65.4000","270","Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"
