"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
22 Mar 2027 18:03:47.909,22 Mar 2027 19:05:13.281,3685.372,21 Mar 2027 21:18:41.236,21 Mar 2027 21:18:50.735,9.499,22 Mar 2027 17:29:36.915,22 Mar 2027 18:03:38.426,2041.511
22 Mar 2027 19:39:33.849,22 Mar 2027 20:40:59.158,3685.309,21 Mar 2027 22:20:16.887,21 Mar 2027 22:20:26.409,9.522,22 Mar 2027 19:05:22.791,22 Mar 2027 19:39:24.362,2041.570
22 Mar 2027 21:15:19.786,22 Mar 2027 22:16:45.035,3685.249,21 Mar 2027 22:54:27.176,21 Mar 2027 22:54:36.671,9.495,22 Mar 2027 20:41:08.668,22 Mar 2027 21:15:10.303,2041.635
22 Mar 2027 22:51:05.723,22 Mar 2027 23:52:30.912,3685.189,21 Mar 2027 23:56:02.763,21 Mar 2027 23:56:12.284,9.522,22 Mar 2027 22:16:54.544,22 Mar 2027 22:50:56.239,2041.695
23 Mar 2027 00:26:51.661,23 Mar 2027 01:28:16.789,3685.129,22 Mar 2027 00:30:13.110,22 Mar 2027 00:30:22.607,9.497,22 Mar 2027 23:52:40.420,23 Mar 2027 00:26:42.177,2041.757
23 Mar 2027 02:02:37.595,23 Mar 2027 03:04:02.667,3685.071,22 Mar 2027 01:31:48.639,22 Mar 2027 01:31:58.159,9.521,23 Mar 2027 01:28:26.297,23 Mar 2027 02:02:28.115,2041.819
23 Mar 2027 03:38:23.536,23 Mar 2027 04:39:48.544,3685.008,22 Mar 2027 02:05:59.050,22 Mar 2027 02:06:08.546,9.496,23 Mar 2027 03:04:12.173,23 Mar 2027 03:38:14.054,2041.881
23 Mar 2027 05:14:09.474,23 Mar 2027 06:15:34.422,3684.948,22 Mar 2027 03:07:34.515,22 Mar 2027 03:07:44.035,9.520,23 Mar 2027 04:39:58.050,23 Mar 2027 05:13:59.996,2041.946
23 Mar 2027 06:49:55.409,23 Mar 2027 07:51:20.300,3684.891,22 Mar 2027 03:41:44.987,22 Mar 2027 03:41:54.482,9.494,23 Mar 2027 06:15:43.926,23 Mar 2027 06:49:45.935,2042.008
23 Mar 2027 08:25:41.347,23 Mar 2027 09:27:06.177,3684.831,22 Mar 2027 04:43:20.391,22 Mar 2027 04:43:29.910,9.519,23 Mar 2027 07:51:29.803,23 Mar 2027 08:25:31.871,2042.068
23 Mar 2027 10:01:27.285,23 Mar 2027 11:02:52.055,3684.770,22 Mar 2027 05:17:30.925,22 Mar 2027 05:17:40.418,9.494,23 Mar 2027 09:27:15.680,23 Mar 2027 10:01:17.810,2042.130
23 Mar 2027 11:37:13.223,23 Mar 2027 12:38:37.933,3684.710,22 Mar 2027 06:19:06.267,22 Mar 2027 06:19:15.785,9.518,23 Mar 2027 11:03:01.557,23 Mar 2027 11:37:03.749,2042.192
23 Mar 2027 13:12:59.161,23 Mar 2027 14:14:23.811,3684.650,22 Mar 2027 06:53:16.859,22 Mar 2027 06:53:26.355,9.496,23 Mar 2027 12:38:47.434,23 Mar 2027 13:12:49.691,2042.257
23 Mar 2027 14:48:45.100,23 Mar 2027 15:50:09.689,3684.589,22 Mar 2027 07:54:52.144,22 Mar 2027 07:55:01.661,9.517,23 Mar 2027 14:14:33.311,23 Mar 2027 14:48:35.630,2042.319
23 Mar 2027 16:24:31.041,23 Mar 2027 17:25:55.567,3684.526,22 Mar 2027 08:29:02.799,22 Mar 2027 08:29:12.288,9.489,23 Mar 2027 15:50:19.188,23 Mar 2027 16:24:21.570,2042.382
23 Mar 2027 18:00:16.977,23 Mar 2027 19:01:41.446,3684.469,22 Mar 2027 09:30:38.020,22 Mar 2027 09:30:47.536,9.516,23 Mar 2027 17:26:05.066,23 Mar 2027 18:00:07.507,2042.441
23 Mar 2027 19:36:02.915,23 Mar 2027 20:37:27.324,3684.409,22 Mar 2027 10:04:48.734,22 Mar 2027 10:04:58.225,9.490,23 Mar 2027 19:01:50.943,23 Mar 2027 19:35:53.447,2042.504
23 Mar 2027 21:11:48.857,23 Mar 2027 22:13:13.203,3684.345,22 Mar 2027 11:06:23.897,22 Mar 2027 11:06:33.412,9.515,23 Mar 2027 20:37:36.821,23 Mar 2027 21:11:39.390,2042.569
23 Mar 2027 22:47:34.796,23 Mar 2027 23:48:59.081,3684.285,22 Mar 2027 11:40:34.672,22 Mar 2027 11:40:44.161,9.489,23 Mar 2027 22:13:22.698,23 Mar 2027 22:47:25.327,2042.629
24 Mar 2027 00:23:20.735,24 Mar 2027 01:24:44.960,3684.225,22 Mar 2027 12:42:09.773,22 Mar 2027 12:42:19.288,9.514,23 Mar 2027 23:49:08.576,24 Mar 2027 00:23:11.267,2042.691
24 Mar 2027 01:59:06.671,24 Mar 2027 03:00:30.839,3684.167,22 Mar 2027 13:16:20.610,22 Mar 2027 13:16:30.101,9.491,24 Mar 2027 01:24:54.454,24 Mar 2027 01:58:57.210,2042.756
24 Mar 2027 03:34:52.613,24 Mar 2027 04:36:16.717,3684.104,22 Mar 2027 14:17:55.650,22 Mar 2027 14:18:05.164,9.513,24 Mar 2027 03:00:40.332,24 Mar 2027 03:34:43.147,2042.816
24 Mar 2027 05:10:38.553,24 Mar 2027 06:12:02.596,3684.044,22 Mar 2027 14:52:06.547,22 Mar 2027 14:52:16.039,9.492,24 Mar 2027 04:36:26.210,24 Mar 2027 05:10:29.088,2042.878
24 Mar 2027 06:46:24.489,24 Mar 2027 07:47:48.476,3683.986,22 Mar 2027 15:53:41.527,22 Mar 2027 15:53:51.039,9.513,24 Mar 2027 06:12:12.088,24 Mar 2027 06:46:15.028,2042.941
24 Mar 2027 08:22:10.432,24 Mar 2027 09:23:34.355,3683.923,22 Mar 2027 16:27:52.485,22 Mar 2027 16:28:01.972,9.486,24 Mar 2027 07:47:57.966,24 Mar 2027 08:22:00.969,2043.003
24 Mar 2027 09:57:56.369,24 Mar 2027 10:59:20.234,3683.865,22 Mar 2027 17:29:27.404,22 Mar 2027 17:29:36.915,9.512,24 Mar 2027 09:23:43.844,24 Mar 2027 09:57:46.909,2043.066
24 Mar 2027 11:33:42.311,24 Mar 2027 12:35:06.113,3683.802,22 Mar 2027 18:03:38.426,22 Mar 2027 18:03:47.909,9.482,24 Mar 2027 10:59:29.722,24 Mar 2027 11:33:32.851,2043.129
24 Mar 2027 13:09:28.248,24 Mar 2027 14:10:51.993,3683.744,22 Mar 2027 19:05:13.281,22 Mar 2027 19:05:22.791,9.511,24 Mar 2027 12:35:15.601,24 Mar 2027 13:09:18.791,2043.190
24 Mar 2027 14:45:14.188,24 Mar 2027 15:46:37.872,3683.684,22 Mar 2027 19:39:24.362,22 Mar 2027 19:39:33.849,9.487,24 Mar 2027 14:11:01.479,24 Mar 2027 14:45:04.732,2043.253
24 Mar 2027 16:21:00.128,24 Mar 2027 17:22:23.752,3683.624,22 Mar 2027 20:40:59.158,22 Mar 2027 20:41:08.668,9.510,24 Mar 2027 15:46:47.358,24 Mar 2027 16:20:50.673,2043.315
24 Mar 2027 17:56:46.071,24 Mar 2027 18:58:09.632,3683.560,22 Mar 2027 21:15:10.303,22 Mar 2027 21:15:19.786,9.483,24 Mar 2027 17:22:33.237,24 Mar 2027 17:56:36.615,2043.378
24 Mar 2027 19:32:32.009,24 Mar 2027 20:33:55.512,3683.503,22 Mar 2027 22:16:45.035,22 Mar 2027 22:16:54.544,9.509,24 Mar 2027 18:58:19.116,24 Mar 2027 19:32:22.559,2043.443
24 Mar 2027 21:08:17.953,24 Mar 2027 22:09:41.392,3683.438,22 Mar 2027 22:50:56.239,22 Mar 2027 22:51:05.723,9.484,24 Mar 2027 20:34:04.995,24 Mar 2027 21:08:08.500,2043.506
24 Mar 2027 22:44:03.890,24 Mar 2027 23:45:27.272,3683.382,22 Mar 2027 23:52:30.912,22 Mar 2027 23:52:40.420,9.508,24 Mar 2027 22:09:50.874,24 Mar 2027 22:43:54.439,2043.565
25 Mar 2027 00:19:49.835,25 Mar 2027 01:21:13.152,3683.316,23 Mar 2027 00:26:42.177,23 Mar 2027 00:26:51.661,9.484,24 Mar 2027 23:45:36.753,25 Mar 2027 00:19:40.381,2043.628
25 Mar 2027 01:55:35.772,25 Mar 2027 02:56:59.032,3683.260,23 Mar 2027 01:28:16.789,23 Mar 2027 01:28:26.297,9.507,25 Mar 2027 01:21:22.632,25 Mar 2027 01:55:26.325,2043.693
25 Mar 2027 03:31:21.712,25 Mar 2027 04:32:44.912,3683.200,23 Mar 2027 02:02:28.115,23 Mar 2027 02:02:37.595,9.480,25 Mar 2027 02:57:08.511,25 Mar 2027 03:31:12.264,2043.753
25 Mar 2027 05:07:07.653,25 Mar 2027 06:08:30.793,3683.140,23 Mar 2027 03:04:02.667,23 Mar 2027 03:04:12.173,9.506,25 Mar 2027 04:32:54.391,25 Mar 2027 05:06:58.209,2043.818
25 Mar 2027 06:42:53.594,25 Mar 2027 07:44:16.673,3683.079,23 Mar 2027 03:38:14.054,23 Mar 2027 03:38:23.536,9.482,25 Mar 2027 06:08:40.270,25 Mar 2027 06:42:44.149,2043.878
25 Mar 2027 08:18:39.535,25 Mar 2027 09:20:02.554,3683.019,23 Mar 2027 04:39:48.544,23 Mar 2027 04:39:58.050,9.505,25 Mar 2027 07:44:26.150,25 Mar 2027 08:18:30.093,2043.943
25 Mar 2027 09:54:25.477,25 Mar 2027 10:55:48.435,3682.958,23 Mar 2027 05:13:59.996,23 Mar 2027 05:14:09.474,9.478,25 Mar 2027 09:20:12.030,25 Mar 2027 09:54:16.036,2044.006
25 Mar 2027 11:30:11.418,25 Mar 2027 12:31:34.316,3682.898,23 Mar 2027 06:15:34.422,23 Mar 2027 06:15:43.926,9.505,25 Mar 2027 10:55:57.910,25 Mar 2027 11:30:01.978,2044.069
25 Mar 2027 13:05:57.360,25 Mar 2027 14:07:20.197,3682.837,23 Mar 2027 06:49:45.935,23 Mar 2027 06:49:55.409,9.474,25 Mar 2027 12:31:43.790,25 Mar 2027 13:05:47.918,2044.128
25 Mar 2027 14:41:43.301,25 Mar 2027 15:43:06.078,3682.777,23 Mar 2027 07:51:20.300,23 Mar 2027 07:51:29.803,9.504,25 Mar 2027 14:07:29.670,25 Mar 2027 14:41:33.861,2044.191
25 Mar 2027 16:17:29.246,25 Mar 2027 17:18:51.959,3682.713,23 Mar 2027 08:25:31.871,23 Mar 2027 08:25:41.347,9.476,25 Mar 2027 15:43:15.550,25 Mar 2027 16:17:19.808,2044.258
25 Mar 2027 17:53:15.185,25 Mar 2027 18:54:37.841,3682.656,23 Mar 2027 09:27:06.177,23 Mar 2027 09:27:15.680,9.503,25 Mar 2027 17:19:01.431,25 Mar 2027 17:53:05.749,2044.319
25 Mar 2027 19:29:01.128,25 Mar 2027 20:30:23.722,3682.594,23 Mar 2027 10:01:17.810,23 Mar 2027 10:01:27.285,9.475,25 Mar 2027 18:54:47.311,25 Mar 2027 19:28:51.690,2044.379
25 Mar 2027 21:04:47.069,25 Mar 2027 22:06:09.604,3682.535,23 Mar 2027 11:02:52.055,23 Mar 2027 11:03:01.557,9.502,25 Mar 2027 20:30:33.191,25 Mar 2027 21:04:37.634,2044.442
25 Mar 2027 22:40:33.014,25 Mar 2027 23:41:55.485,3682.471,23 Mar 2027 11:37:03.749,23 Mar 2027 11:37:13.223,9.474,25 Mar 2027 22:06:19.072,25 Mar 2027 22:40:23.579,2044.506
26 Mar 2027 00:16:18.954,26 Mar 2027 01:17:41.367,3682.413,23 Mar 2027 12:38:37.933,23 Mar 2027 12:38:47.434,9.501,25 Mar 2027 23:42:04.953,26 Mar 2027 00:16:09.523,2044.570
26 Mar 2027 01:52:04.897,26 Mar 2027 02:53:27.249,3682.352,23 Mar 2027 13:12:49.691,23 Mar 2027 13:12:59.161,9.470,26 Mar 2027 01:17:50.834,26 Mar 2027 01:51:55.466,2044.632
26 Mar 2027 03:27:50.839,26 Mar 2027 04:29:13.131,3682.292,23 Mar 2027 14:14:23.811,23 Mar 2027 14:14:33.311,9.500,26 Mar 2027 02:53:36.715,26 Mar 2027 03:27:41.409,2044.695
26 Mar 2027 05:03:36.781,26 Mar 2027 06:04:59.013,3682.232,23 Mar 2027 14:48:35.630,23 Mar 2027 14:48:45.100,9.469,26 Mar 2027 04:29:22.596,26 Mar 2027 05:03:27.350,2044.754
26 Mar 2027 06:39:22.727,26 Mar 2027 07:40:44.895,3682.168,23 Mar 2027 15:50:09.689,23 Mar 2027 15:50:19.188,9.499,26 Mar 2027 06:05:08.477,26 Mar 2027 06:39:13.298,2044.821
26 Mar 2027 08:15:08.670,26 Mar 2027 09:16:30.777,3682.108,23 Mar 2027 16:24:21.570,23 Mar 2027 16:24:31.041,9.471,26 Mar 2027 07:40:54.358,26 Mar 2027 08:14:59.241,2044.882
