"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
22 Mar 2027 15:23:14.331,22 Mar 2027 16:21:53.329,3518.999,21 Mar 2027 20:15:32.342,21 Mar 2027 20:15:41.950,9.608,22 Mar 2027 16:22:03.309,22 Mar 2027 16:55:50.243,2026.934
22 Mar 2027 16:56:00.361,22 Mar 2027 17:54:41.344,3520.983,21 Mar 2027 20:49:53.744,21 Mar 2027 20:50:03.469,9.725,22 Mar 2027 17:54:51.354,22 Mar 2027 18:28:36.262,2024.908
22 Mar 2027 18:28:46.411,22 Mar 2027 19:27:29.394,3522.983,21 Mar 2027 21:48:19.906,21 Mar 2027 21:48:29.540,9.635,22 Mar 2027 19:27:39.436,22 Mar 2027 20:01:22.301,2022.866
22 Mar 2027 20:01:32.483,22 Mar 2027 21:00:17.482,3524.998,21 Mar 2027 22:22:39.526,21 Mar 2027 22:22:49.276,9.750,22 Mar 2027 21:00:27.554,22 Mar 2027 21:34:08.362,2020.808
22 Mar 2027 21:34:18.577,22 Mar 2027 22:33:05.606,3527.028,21 Mar 2027 23:21:07.502,21 Mar 2027 23:21:17.164,9.662,22 Mar 2027 22:33:15.710,22 Mar 2027 23:06:54.445,2018.735
22 Mar 2027 23:07:04.693,23 Mar 2027 00:05:53.767,3529.074,21 Mar 2027 23:55:25.322,21 Mar 2027 23:55:35.101,9.779,23 Mar 2027 00:06:03.903,23 Mar 2027 00:39:40.550,2016.647
23 Mar 2027 00:39:50.831,23 Mar 2027 01:38:41.965,3531.134,22 Mar 2027 00:53:55.132,22 Mar 2027 00:54:04.822,9.689,23 Mar 2027 01:38:52.133,23 Mar 2027 02:12:26.677,2014.544
23 Mar 2027 02:12:36.992,23 Mar 2027 03:11:30.201,3533.208,22 Mar 2027 01:28:11.131,22 Mar 2027 01:28:20.942,9.811,23 Mar 2027 03:11:40.401,23 Mar 2027 03:45:12.828,2012.426
23 Mar 2027 03:45:23.176,23 Mar 2027 04:44:18.474,3535.297,22 Mar 2027 02:26:42.796,22 Mar 2027 02:26:52.513,9.717,23 Mar 2027 04:44:28.707,23 Mar 2027 05:17:59.001,2010.294
23 Mar 2027 05:18:09.384,23 Mar 2027 06:17:06.785,3537.400,22 Mar 2027 03:00:56.960,22 Mar 2027 03:01:06.803,9.843,23 Mar 2027 06:17:17.051,23 Mar 2027 06:50:45.199,2008.148
23 Mar 2027 06:50:55.617,23 Mar 2027 07:49:55.134,3539.517,22 Mar 2027 03:59:30.494,22 Mar 2027 03:59:40.239,9.745,23 Mar 2027 07:50:05.433,23 Mar 2027 08:23:31.421,2005.987
23 Mar 2027 08:23:41.873,23 Mar 2027 09:22:43.521,3541.648,22 Mar 2027 04:33:42.806,22 Mar 2027 04:33:52.676,9.870,23 Mar 2027 09:22:53.854,23 Mar 2027 09:56:17.667,2003.813
23 Mar 2027 09:56:28.154,23 Mar 2027 10:55:31.947,3543.792,22 Mar 2027 05:32:18.226,22 Mar 2027 05:32:27.999,9.773,23 Mar 2027 10:55:42.314,23 Mar 2027 11:29:03.938,2001.625
23 Mar 2027 11:29:14.461,23 Mar 2027 12:28:20.411,3545.950,22 Mar 2027 06:06:28.670,22 Mar 2027 06:06:38.570,9.900,23 Mar 2027 12:28:30.812,23 Mar 2027 13:01:50.235,1999.424
23 Mar 2027 13:02:00.794,23 Mar 2027 14:01:08.914,3548.120,22 Mar 2027 07:05:05.992,22 Mar 2027 07:05:15.794,9.802,23 Mar 2027 14:01:19.349,23 Mar 2027 14:34:36.558,1997.209
23 Mar 2027 14:34:47.152,23 Mar 2027 15:33:57.455,3550.303,22 Mar 2027 07:39:14.555,22 Mar 2027 07:39:24.482,9.927,23 Mar 2027 15:34:07.925,23 Mar 2027 16:07:22.907,1994.982
23 Mar 2027 16:07:33.537,23 Mar 2027 17:06:46.035,3552.498,22 Mar 2027 08:37:53.793,22 Mar 2027 08:38:03.624,9.831,23 Mar 2027 17:06:56.540,23 Mar 2027 17:40:09.283,1992.743
23 Mar 2027 17:40:19.950,23 Mar 2027 18:39:34.655,3554.705,22 Mar 2027 09:12:00.453,22 Mar 2027 09:12:10.413,9.960,23 Mar 2027 18:39:45.195,23 Mar 2027 19:12:55.686,1990.492
23 Mar 2027 19:13:06.389,23 Mar 2027 20:12:23.313,3556.924,22 Mar 2027 10:10:41.629,22 Mar 2027 10:10:51.489,9.860,23 Mar 2027 20:12:33.888,23 Mar 2027 20:45:42.117,1988.228
23 Mar 2027 20:45:52.857,23 Mar 2027 21:45:12.011,3559.155,22 Mar 2027 10:44:46.374,22 Mar 2027 10:44:56.363,9.989,23 Mar 2027 21:45:22.622,23 Mar 2027 22:18:28.575,1985.953
23 Mar 2027 22:18:39.353,23 Mar 2027 23:18:00.749,3561.396,22 Mar 2027 11:43:29.500,22 Mar 2027 11:43:39.392,9.892,23 Mar 2027 23:18:11.395,23 Mar 2027 23:51:15.063,1983.667
23 Mar 2027 23:51:25.877,24 Mar 2027 00:50:49.525,3563.648,22 Mar 2027 12:17:32.310,22 Mar 2027 12:17:42.332,10.022,24 Mar 2027 00:51:00.208,24 Mar 2027 01:24:01.579,1981.371
24 Mar 2027 01:24:12.431,24 Mar 2027 02:23:38.342,3565.911,22 Mar 2027 13:16:17.407,22 Mar 2027 13:16:27.328,9.922,24 Mar 2027 02:23:49.061,24 Mar 2027 02:56:48.124,1979.064
24 Mar 2027 02:56:59.014,24 Mar 2027 03:56:27.198,3568.183,22 Mar 2027 13:50:18.268,22 Mar 2027 13:50:28.325,10.057,24 Mar 2027 03:56:37.953,24 Mar 2027 04:29:34.700,1976.747
24 Mar 2027 04:29:45.628,24 Mar 2027 05:29:16.093,3570.466,22 Mar 2027 14:49:05.351,22 Mar 2027 14:49:15.301,9.949,24 Mar 2027 05:29:26.886,24 Mar 2027 06:02:21.306,1974.420
24 Mar 2027 06:02:32.272,24 Mar 2027 07:02:05.029,3572.757,22 Mar 2027 15:23:04.246,22 Mar 2027 15:23:14.331,10.085,24 Mar 2027 07:02:15.858,24 Mar 2027 07:35:07.942,1972.084
24 Mar 2027 07:35:18.947,24 Mar 2027 08:34:54.004,3575.057,22 Mar 2027 16:21:53.329,22 Mar 2027 16:22:03.309,9.980,24 Mar 2027 08:35:04.870,24 Mar 2027 09:07:54.610,1969.740
24 Mar 2027 09:08:05.653,24 Mar 2027 10:07:43.019,3577.366,22 Mar 2027 16:55:50.243,22 Mar 2027 16:56:00.361,10.117,24 Mar 2027 10:07:53.923,24 Mar 2027 10:40:41.310,1967.387
24 Mar 2027 10:40:52.391,24 Mar 2027 11:40:32.073,3579.682,22 Mar 2027 17:54:41.344,22 Mar 2027 17:54:51.354,10.011,24 Mar 2027 11:40:43.015,24 Mar 2027 12:13:28.041,1965.026
24 Mar 2027 12:13:39.162,24 Mar 2027 13:13:21.168,3582.006,22 Mar 2027 18:28:36.262,22 Mar 2027 18:28:46.411,10.150,24 Mar 2027 13:13:32.148,24 Mar 2027 13:46:14.805,1962.658
24 Mar 2027 13:46:25.965,24 Mar 2027 14:46:10.302,3584.337,22 Mar 2027 19:27:29.394,22 Mar 2027 19:27:39.436,10.041,24 Mar 2027 14:46:21.320,24 Mar 2027 15:19:01.603,1960.283
24 Mar 2027 15:19:12.802,24 Mar 2027 16:18:59.476,3586.674,22 Mar 2027 20:01:22.301,22 Mar 2027 20:01:32.483,10.182,24 Mar 2027 16:19:10.532,24 Mar 2027 16:51:48.434,1957.902
24 Mar 2027 16:51:59.672,24 Mar 2027 17:51:48.689,3589.017,22 Mar 2027 21:00:17.482,22 Mar 2027 21:00:27.554,10.073,24 Mar 2027 17:51:59.784,24 Mar 2027 18:24:35.298,1955.514
24 Mar 2027 18:24:46.577,24 Mar 2027 19:24:37.943,3591.366,22 Mar 2027 21:34:08.362,22 Mar 2027 21:34:18.577,10.215,24 Mar 2027 19:24:49.076,24 Mar 2027 19:57:22.198,1953.122
24 Mar 2027 19:57:33.516,24 Mar 2027 20:57:27.235,3593.719,22 Mar 2027 22:33:05.606,22 Mar 2027 22:33:15.710,10.104,24 Mar 2027 20:57:38.408,24 Mar 2027 21:30:09.132,1950.724
24 Mar 2027 21:30:20.490,24 Mar 2027 22:30:16.568,3596.077,22 Mar 2027 23:06:54.445,22 Mar 2027 23:07:04.693,10.248,24 Mar 2027 22:30:27.779,24 Mar 2027 23:02:56.102,1948.323
24 Mar 2027 23:03:07.504,25 Mar 2027 00:03:05.937,3598.433,23 Mar 2027 00:05:53.767,23 Mar 2027 00:06:03.903,10.136,25 Mar 2027 00:03:17.187,25 Mar 2027 00:35:43.107,1945.920
25 Mar 2027 00:35:54.546,25 Mar 2027 01:35:55.350,3600.804,23 Mar 2027 00:39:40.550,23 Mar 2027 00:39:50.831,10.281,25 Mar 2027 01:36:06.640,25 Mar 2027 02:08:30.149,1943.509
25 Mar 2027 02:08:41.628,25 Mar 2027 03:08:44.798,3603.170,23 Mar 2027 01:38:41.965,23 Mar 2027 01:38:52.133,10.168,25 Mar 2027 03:08:56.127,25 Mar 2027 03:41:17.228,1941.101
25 Mar 2027 03:41:28.747,25 Mar 2027 04:41:34.289,3605.541,23 Mar 2027 02:12:26.677,23 Mar 2027 02:12:36.992,10.315,25 Mar 2027 04:41:45.657,25 Mar 2027 05:14:04.344,1938.687
25 Mar 2027 05:14:15.904,25 Mar 2027 06:14:23.816,3607.912,23 Mar 2027 03:11:30.201,23 Mar 2027 03:11:40.401,10.201,25 Mar 2027 06:14:35.225,25 Mar 2027 06:46:51.501,1936.276
25 Mar 2027 06:47:03.101,25 Mar 2027 07:47:13.382,3610.282,23 Mar 2027 03:45:12.828,23 Mar 2027 03:45:23.176,10.349,25 Mar 2027 07:47:24.830,25 Mar 2027 08:19:38.693,1933.862
25 Mar 2027 08:19:50.333,25 Mar 2027 09:20:02.987,3612.653,23 Mar 2027 04:44:18.474,23 Mar 2027 04:44:28.707,10.233,25 Mar 2027 09:20:14.475,25 Mar 2027 09:52:25.923,1931.449
25 Mar 2027 09:52:37.605,25 Mar 2027 10:52:52.629,3615.024,23 Mar 2027 05:17:59.001,23 Mar 2027 05:18:09.384,10.383,25 Mar 2027 10:53:04.157,25 Mar 2027 11:25:13.193,1929.036
25 Mar 2027 11:25:24.915,25 Mar 2027 12:25:42.309,3617.394,23 Mar 2027 06:17:06.785,23 Mar 2027 06:17:17.051,10.266,25 Mar 2027 12:25:53.876,25 Mar 2027 12:58:00.503,1926.627
25 Mar 2027 12:58:12.264,25 Mar 2027 13:58:32.027,3619.763,23 Mar 2027 06:50:45.199,23 Mar 2027 06:50:55.617,10.418,25 Mar 2027 13:58:43.636,25 Mar 2027 14:30:47.852,1924.216
25 Mar 2027 14:30:59.656,25 Mar 2027 15:31:21.782,3622.126,23 Mar 2027 07:49:55.134,23 Mar 2027 07:50:05.433,10.299,25 Mar 2027 15:31:33.431,25 Mar 2027 16:03:35.240,1921.809
25 Mar 2027 16:03:47.087,25 Mar 2027 17:04:11.574,3624.488,23 Mar 2027 08:23:31.421,23 Mar 2027 08:23:41.873,10.452,25 Mar 2027 17:04:23.261,25 Mar 2027 17:36:22.673,1919.412
25 Mar 2027 17:36:34.556,25 Mar 2027 18:37:01.403,3626.847,23 Mar 2027 09:22:43.521,23 Mar 2027 09:22:53.854,10.333,25 Mar 2027 18:37:13.132,25 Mar 2027 19:09:10.145,1917.013
