"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
2 Jan 2027 14:39:56.158,2 Jan 2027 15:35:25.108,3328.949,1 Jan 2027 19:51:44.941,1 Jan 2027 19:51:54.336,9.395,2 Jan 2027 15:35:34.392,2 Jan 2027 16:10:50.466,2116.074
2 Jan 2027 16:10:59.652,2 Jan 2027 17:06:28.067,3328.415,1 Jan 2027 20:27:03.971,1 Jan 2027 20:27:13.284,9.313,2 Jan 2027 17:06:37.342,2 Jan 2027 17:41:53.961,2116.619
2 Jan 2027 17:42:03.135,2 Jan 2027 18:37:31.008,3327.873,1 Jan 2027 21:22:48.139,1 Jan 2027 21:22:57.527,9.388,2 Jan 2027 18:37:40.273,2 Jan 2027 19:12:57.439,2117.166
2 Jan 2027 19:13:06.607,2 Jan 2027 20:08:33.929,3327.322,1 Jan 2027 21:58:07.611,1 Jan 2027 21:58:16.917,9.306,2 Jan 2027 20:08:43.184,2 Jan 2027 20:44:00.906,2117.721
2 Jan 2027 20:44:10.060,2 Jan 2027 21:39:36.831,3326.771,1 Jan 2027 22:53:51.319,1 Jan 2027 22:54:00.699,9.380,2 Jan 2027 21:39:46.077,2 Jan 2027 22:15:04.358,2118.282
2 Jan 2027 22:15:13.504,2 Jan 2027 23:10:39.714,3326.210,1 Jan 2027 23:29:11.239,1 Jan 2027 23:29:20.536,9.297,2 Jan 2027 23:10:48.949,2 Jan 2027 23:46:07.797,2118.847
2 Jan 2027 23:46:16.931,3 Jan 2027 00:41:42.577,3325.646,2 Jan 2027 00:24:54.482,2 Jan 2027 00:25:03.854,9.372,3 Jan 2027 00:41:51.803,3 Jan 2027 01:17:11.223,2119.420
3 Jan 2027 01:17:20.342,3 Jan 2027 02:12:45.421,3325.079,2 Jan 2027 01:00:14.860,2 Jan 2027 01:00:24.149,9.289,3 Jan 2027 02:12:54.637,3 Jan 2027 02:48:14.632,2119.995
3 Jan 2027 02:48:23.742,3 Jan 2027 03:43:48.246,3324.503,2 Jan 2027 01:55:57.628,2 Jan 2027 01:56:06.991,9.364,3 Jan 2027 03:43:57.451,3 Jan 2027 04:19:18.026,2120.575
3 Jan 2027 04:19:27.125,3 Jan 2027 05:14:51.051,3323.926,2 Jan 2027 02:31:18.473,2 Jan 2027 02:31:27.748,9.275,3 Jan 2027 05:15:00.246,3 Jan 2027 05:50:21.405,2121.160
3 Jan 2027 05:50:30.493,3 Jan 2027 06:45:53.836,3323.343,2 Jan 2027 03:27:00.755,2 Jan 2027 03:27:10.110,9.356,3 Jan 2027 06:46:03.021,3 Jan 2027 07:21:24.767,2121.746
3 Jan 2027 07:21:33.843,3 Jan 2027 08:16:56.602,3322.759,2 Jan 2027 04:02:22.073,2 Jan 2027 04:02:31.339,9.266,3 Jan 2027 08:17:05.776,3 Jan 2027 08:52:28.117,2122.340
3 Jan 2027 08:52:37.182,3 Jan 2027 09:47:59.349,3322.167,2 Jan 2027 04:58:03.864,2 Jan 2027 04:58:13.211,9.347,3 Jan 2027 09:48:08.512,3 Jan 2027 10:23:31.449,2122.936
3 Jan 2027 10:23:40.500,3 Jan 2027 11:19:02.076,3321.575,2 Jan 2027 05:33:25.663,2 Jan 2027 05:33:34.921,9.258,3 Jan 2027 11:19:11.228,3 Jan 2027 11:54:34.762,2123.534
3 Jan 2027 11:54:43.807,3 Jan 2027 12:50:04.783,3320.976,2 Jan 2027 06:29:06.954,2 Jan 2027 06:29:16.293,9.339,3 Jan 2027 12:50:13.925,3 Jan 2027 13:25:38.062,2124.137
3 Jan 2027 13:25:47.093,3 Jan 2027 14:21:07.471,3320.378,2 Jan 2027 07:04:29.240,2 Jan 2027 07:04:38.488,9.248,3 Jan 2027 14:21:16.602,3 Jan 2027 14:56:41.347,2124.745
3 Jan 2027 14:56:50.366,3 Jan 2027 15:52:10.139,3319.773,2 Jan 2027 08:00:10.026,2 Jan 2027 08:00:19.356,9.330,3 Jan 2027 15:52:19.259,3 Jan 2027 16:27:44.611,2125.351
3 Jan 2027 16:27:53.621,3 Jan 2027 17:23:12.787,3319.167,2 Jan 2027 08:35:32.810,2 Jan 2027 08:35:42.046,9.236,3 Jan 2027 17:23:21.897,3 Jan 2027 17:58:47.862,2125.965
3 Jan 2027 17:58:56.858,3 Jan 2027 18:54:15.416,3318.558,2 Jan 2027 09:31:13.080,2 Jan 2027 09:31:22.401,9.321,3 Jan 2027 18:54:24.515,3 Jan 2027 19:29:51.094,2126.579
3 Jan 2027 19:30:00.079,3 Jan 2027 20:25:18.026,3317.947,2 Jan 2027 10:06:36.364,2 Jan 2027 10:06:45.592,9.228,3 Jan 2027 20:25:27.113,3 Jan 2027 21:00:54.306,2127.193
3 Jan 2027 21:01:03.282,3 Jan 2027 21:56:20.616,3317.334,2 Jan 2027 11:02:16.115,2 Jan 2027 11:02:25.427,9.312,3 Jan 2027 21:56:29.692,3 Jan 2027 22:31:57.503,2127.811
3 Jan 2027 22:32:06.467,3 Jan 2027 23:27:23.186,3316.719,2 Jan 2027 11:37:39.910,2 Jan 2027 11:37:49.128,9.218,3 Jan 2027 23:27:32.251,4 Jan 2027 00:03:00.685,2128.434
4 Jan 2027 00:03:09.635,4 Jan 2027 00:58:25.737,3316.102,2 Jan 2027 12:33:19.132,2 Jan 2027 12:33:28.435,9.303,4 Jan 2027 00:58:34.791,4 Jan 2027 01:34:03.844,2129.053
4 Jan 2027 01:34:12.785,4 Jan 2027 02:29:28.268,3315.484,2 Jan 2027 13:08:43.442,2 Jan 2027 13:08:52.649,9.207,4 Jan 2027 02:29:37.311,4 Jan 2027 03:05:06.990,2129.679
4 Jan 2027 03:05:15.916,4 Jan 2027 04:00:30.780,3314.864,2 Jan 2027 14:04:22.129,2 Jan 2027 14:04:31.423,9.294,4 Jan 2027 04:00:39.812,4 Jan 2027 04:36:10.115,2130.303
4 Jan 2027 04:36:19.028,4 Jan 2027 05:31:33.273,3314.245,2 Jan 2027 14:39:46.961,2 Jan 2027 14:39:56.158,9.197,4 Jan 2027 05:31:42.293,4 Jan 2027 06:07:13.219,2130.926
4 Jan 2027 06:07:22.125,4 Jan 2027 07:02:35.746,3313.621,2 Jan 2027 15:35:25.108,2 Jan 2027 15:35:34.392,9.284,4 Jan 2027 07:02:44.755,4 Jan 2027 07:38:16.310,2131.555
4 Jan 2027 07:38:25.199,4 Jan 2027 08:33:38.200,3313.001,2 Jan 2027 16:10:50.466,2 Jan 2027 16:10:59.652,9.186,4 Jan 2027 08:33:47.198,4 Jan 2027 09:09:19.380,2132.181
4 Jan 2027 09:09:28.257,4 Jan 2027 10:04:40.635,3312.378,2 Jan 2027 17:06:28.067,2 Jan 2027 17:06:37.342,9.275,4 Jan 2027 10:04:49.622,4 Jan 2027 10:40:22.430,2132.809
4 Jan 2027 10:40:31.296,4 Jan 2027 11:35:43.051,3311.754,2 Jan 2027 17:41:53.961,2 Jan 2027 17:42:03.135,9.174,4 Jan 2027 11:35:52.026,4 Jan 2027 12:11:25.460,2133.434
4 Jan 2027 12:11:34.319,4 Jan 2027 13:06:45.448,3311.129,2 Jan 2027 18:37:31.008,2 Jan 2027 18:37:40.273,9.265,4 Jan 2027 13:06:54.412,4 Jan 2027 13:42:28.473,2134.061
4 Jan 2027 13:42:37.318,4 Jan 2027 14:37:47.825,3310.507,2 Jan 2027 19:12:57.439,2 Jan 2027 19:13:06.607,9.167,4 Jan 2027 14:37:56.778,4 Jan 2027 15:13:31.466,2134.689
