Ref,Val,Package,PosX,PosY,Rot,Side
"PV1_MINUS1","SM141K10TF","Anysolar-SM141K10TF",146.600000,-99.400000,180.000000,top
"PV1_PLUS1","SM141K10TF","Anysolar-SM141K10TF",146.600000,-76.400000,180.000000,top
"PV2_MINUS1","SM141K10TF","Anysolar-SM141K10TF",146.600000,-122.400000,0.000000,top
"VP2_PLUS1","SM141K10TF","Anysolar-SM141K10TF",146.600000,-53.400000,0.000000,top
